,Year,Local Government Area,Total Population
723,2021,Cardinia,118392
724,2021,Casey,369441
725,2021,Central Goldfields,13053
726,2021,Colac-Otway,21625
727,2021,Corangamite,15714
728,2021,Darebin,164879
729,2021,East Gippsland,48170
730,2021,Frankston,143051
731,2021,Gannawarra,10321
732,2021,Glen Eira,155888
733,2021,Glenelg,19552
734,2021,Golden Plains,24738
735,2021,Greater Bendigo,121959
736,2021,Greater Dandenong,164349
737,2021,Greater Geelong,270978
738,2021,Greater Shepparton,67287
739,2021,Hepburn,16185
740,2021,Hindmarsh,5517
741,2021,Hobsons Bay,97353
742,2021,Horsham,19964
743,2021,Hume,245563
744,2021,Indigo,17118
745,2021,Kingston,165927
746,2021,Knox,164301
747,2021,Latrobe,76257
748,2021,Loddon,7474
749,2021,Macedon Ranges,51652
750,2021,Manningham,127427
751,2021,Mansfield,9586
752,2021,Maribyrnong,93924
753,2021,Maroondah,118872
754,2021,Melbourne,167476
755,2021,Melton,179818
756,2021,Mildura,55754
757,2021,Mitchell,48537
758,2021,Moira,29961
759,2021,Monash,198296
760,2021,Moonee Valley,130790
761,2021,Moorabool,36815
762,2021,Moreland,187013
763,2021,Mornington Peninsula,169512
764,2021,Mount Alexander,20145
765,2021,Moyne,16996
766,2021,Murrindindi,14922
767,2021,Nillumbik,64864
768,2021,Northern Grampians,11273
769,2021,Port Phillip,113416
770,2021,Pyrenees,7562
771,2021,Queenscliffe,3018
772,2021,South Gippsland,30535
773,2021,Southern Grampians,16041
774,2021,Stonnington,115455
775,2021,Strathbogie,11069
776,2021,Surf Coast,35870
777,2021,Swan Hill,20381
778,2021,Towong,6140
779,2021,Wangaratta,29201
780,2021,Warrnambool,35531
781,2021,Wellington,45132
782,2021,West Wimmera,3769
783,2021,Whitehorse,177227
784,2021,Whittlesea,238072
785,2021,Wodonga,43147
786,2021,Wyndham,290654
787,2021,Yarra,100852
788,2021,Yarra Ranges,159102
789,2021,Yarriambiack,6445
